dataset,least,most_polarity,seed,epsilon,pos,polarity,trigger_size,trigger_label,loss,optimizer,batch_size,type,epochs,start,end,strobe_gap,strobe_on_duration,trigger_length,randomtrain_acc,test_acc_clean,test_acc_backdoor,defend,prune,prune_rate,pruned_clean,pruned_bd,fine_tune,fine_tune_epochs,fine_tune_clean,fine_tune_bd,fine_prune,fine_prune_clean,fine_prune_bd
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004485203126654485,adam,16,flash,40,5,0,0,1,6,False,0.9940476190476191,0.9340277777777778,1.0,True,True,0.2,0.9270833333333334,1.0,True,5,0.9131944444444444,0.01500943306988726,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003904688952896161,adam,16,flash,40,4,0,0,1,7,False,0.9940476190476191,0.9409722222222222,1.0,True,True,0.2,0.8854166666666666,1.0,True,5,0.9479166666666666,0.011566852827349471,True,0.9409722222222222,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.005568423590363086,adam,16,flash,40,0,0,1,1,3,False,0.9880952380952381,0.9340277777777778,1.0,True,True,0.2,0.90625,1.0,True,5,0.9201388888888888,0.026000237182921007,True,0.9375,0.9895833333333334
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004159304843962091,adam,16,flash,40,0,0,1,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.2,0.90625,1.0,True,5,0.9236111111111112,0.009158109777975673,True,0.9340277777777778,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.003925053655410654,adam,16,flash,40,0,0,1,1,7,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.2,0.9166666666666666,1.0,True,5,0.9166666666666666,0.0066239916300724466,True,0.9166666666666666,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0034585110478888765,adam,16,flash,40,0,0,1,1,9,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.2,0.9270833333333334,1.0,True,5,0.9131944444444444,0.0022802735159833296,True,0.9305555555555556,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0030431488044179826,adam,16,flash,40,0,0,1,1,11,False,0.9931972789115646,0.9270833333333334,1.0,True,True,0.2,0.9270833333333334,1.0,True,5,0.9166666666666666,0.0038559669855102482,True,0.9236111111111112,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.002998315748999364,adam,16,flash,40,0,0,1,1,13,False,0.9957482993197279,0.9166666666666666,1.0,True,True,0.2,0.8958333333333334,1.0,True,5,0.9131944444444444,0.001171209189730386,True,0.8993055555555556,1.0
gesture,False,False,57,0.1,top-left,1,0.1,0,0.006233361872787379,adam,16,flash,40,0,0,0,1,2,False,0.9931972789115646,0.90625,0.9930555555555556,True,True,0.6,0.3333333333333333,1.0,True,5,0.9270833333333334,0.038679583269792296,True,0.9166666666666666,0.5208333333333334
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0053006871793495145,adam,16,flash,40,0,0,0,1,3,False,0.9897959183673469,0.9131944444444444,1.0,True,True,0.6,0.6076388888888888,0.9097222222222222,True,5,0.8958333333333334,0.045515298636423215,True,0.9270833333333334,0.5451388888888888
gesture,False,False,57,0.1,top-left,1,0.1,0,0.004138562717430648,adam,16,flash,40,0,0,0,1,4,False,0.9931972789115646,0.9409722222222222,1.0,True,True,0.6,0.8159722222222222,0.9965277777777778,True,5,0.9131944444444444,0.04622027391774787,True,0.9236111111111112,0.90625
gesture,False,False,57,0.1,top-left,1,0.1,0,0.0037571325301046983,adam,16,flash,40,0,0,0,1,5,False,0.9948979591836735,0.9236111111111112,1.0,True,True,0.6,0.6493055555555556,0.9861111111111112,True,5,0.9131944444444444,0.019696969985185813,True,0.9131944444444444,1.0
